epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7892,2.00197,3.00752,1.84601,0.2127,0.21519,0.14754,0.05626,2.10829,3.42796,2.19082,2e-05,2e-05,2e-05
2,14.9409,2.06049,2.7921,1.88564,0.22129,0.21519,0.13179,0.05214,2.09592,3.39651,2.18417,5.9802e-05,5.9802e-05,5.9802e-05
3,18.2134,1.94943,3.02976,1.91526,0.20246,0.23461,0.12674,0.0455,2.08421,3.37738,2.18071,9.934e-05,9.934e-05,9.934e-05
4,21.8086,1.8874,2.58382,1.86115,0.33444,0.49367,0.35475,0.17605,1.60623,3.76172,1.83948,0.000138614,0.000138614,0.000138614
5,26.272,1.59127,1.76488,1.57096,0.70971,0.64557,0.69012,0.38303,1.42116,4.34538,1.46108,0.000177624,0.000177624,0.000177624
6,31.4135,1.46269,1.3919,1.39442,0.5139,0.77215,0.69251,0.33659,1.42918,7.65363,1.48374,0.00021637,0.00021637,0.00021637
7,35.7111,1.46407,1.3646,1.43039,0.71404,0.60759,0.66131,0.37541,1.36974,3.36294,1.35977,0.000254852,0.000254852,0.000254852
8,39.6619,1.3698,1.27692,1.30537,0.68623,0.73418,0.75464,0.41789,1.40827,2.71756,1.32808,0.00029307,0.00029307,0.00029307
9,45.6583,1.34473,1.23872,1.27807,0.6752,0.77215,0.75059,0.38698,1.48907,2.85039,1.38502,0.000331024,0.000331024,0.000331024
10,50.1682,1.37542,1.29544,1.25858,0.78439,0.72152,0.78778,0.37792,1.4674,2.31757,1.38181,0.000368714,0.000368714,0.000368714
11,55.215,1.35929,1.107,1.22204,0.88269,0.67089,0.78087,0.44716,1.43935,1.78469,1.37423,0.00040614,0.00040614,0.00040614
12,60.0154,1.27553,1.09999,1.19351,0.78404,0.62025,0.73763,0.38966,1.52695,2.08016,1.47824,0.000443302,0.000443302,0.000443302
13,65.3282,1.22688,1.01077,1.15176,0.74598,0.63195,0.7529,0.3782,1.50042,2.57018,1.52165,0.0004802,0.0004802,0.0004802
14,69.8249,1.24651,1.04087,1.17997,0.77418,0.77215,0.77921,0.43671,1.35427,1.99991,1.34534,0.000516834,0.000516834,0.000516834
15,74.8041,1.26415,1.06714,1.14812,0.78089,0.67675,0.76361,0.43282,1.40829,1.63812,1.35465,0.000553204,0.000553204,0.000553204
16,79.437,1.15482,0.98278,1.12962,0.69848,0.67448,0.74961,0.45324,1.31081,1.55061,1.33101,0.00058931,0.00058931,0.00058931
17,84.0747,1.14058,0.94588,1.14998,0.82047,0.5443,0.70524,0.41224,1.35085,2.09442,1.41669,0.000625152,0.000625152,0.000625152
18,89.417,1.30595,0.9669,1.19376,0.82764,0.5443,0.69481,0.40093,1.40049,2.47315,1.44567,0.00066073,0.00066073,0.00066073
19,94.5664,1.10151,0.87224,1.10323,0.86491,0.64838,0.77712,0.45478,1.30738,1.7429,1.36841,0.000696044,0.000696044,0.000696044
20,100.858,1.1311,0.82672,1.09699,0.80115,0.77215,0.84399,0.4504,1.41714,1.38879,1.49153,0.000731094,0.000731094,0.000731094
21,106.753,1.09331,0.80541,1.13336,0.82809,0.78481,0.85487,0.46135,1.38583,1.46384,1.47824,0.00076588,0.00076588,0.00076588
22,111.889,1.16665,0.82683,1.11551,0.8086,0.64178,0.75591,0.42688,1.41291,2.16505,1.46572,0.000800402,0.000800402,0.000800402
23,117.141,1.15438,0.82178,1.1265,0.75502,0.63291,0.72831,0.42274,1.38166,2.75944,1.44617,0.00083466,0.00083466,0.00083466
24,121.896,1.15583,0.79858,1.10116,0.69758,0.75916,0.78392,0.44373,1.33675,2.37418,1.42394,0.000868654,0.000868654,0.000868654
25,126.378,1.22683,0.84582,1.1921,0.80667,0.68664,0.77239,0.44743,1.35568,1.695,1.3937,0.000902384,0.000902384,0.000902384
26,129.706,1.07262,0.81135,1.09985,0.80254,0.67089,0.76445,0.44409,1.38654,1.4655,1.37628,0.00093585,0.00093585,0.00093585
27,133.315,1.0659,0.77013,1.08456,0.76642,0.68354,0.78512,0.44646,1.33306,1.71432,1.42152,0.000969052,0.000969052,0.000969052
28,136.501,0.97489,0.74177,1.05433,0.76642,0.68354,0.78512,0.44646,1.33306,1.71432,1.42152,0.00100199,0.00100199,0.00100199
29,141.605,1.02652,0.70703,1.08891,0.74313,0.69581,0.79028,0.44337,1.3805,1.6879,1.46198,0.00103466,0.00103466,0.00103466
30,146.167,1.01898,0.7036,1.0816,0.73745,0.60445,0.68771,0.39192,1.45258,1.60301,1.45319,0.00106707,0.00106707,0.00106707
31,151.084,1.05632,0.74453,1.06462,0.73745,0.60445,0.68771,0.39192,1.45258,1.60301,1.45319,0.00109922,0.00109922,0.00109922
32,155.969,1.08782,0.74599,1.08593,0.7066,0.65823,0.73843,0.39373,1.55264,1.56531,1.54922,0.0011311,0.0011311,0.0011311
33,161.264,1.03612,0.69272,1.0714,0.73205,0.58794,0.70614,0.38867,1.50322,1.6014,1.5014,0.00116272,0.00116272,0.00116272
34,165.948,0.94718,0.64847,1.03461,0.73205,0.58794,0.70614,0.38867,1.50322,1.6014,1.5014,0.00119407,0.00119407,0.00119407
35,171.916,0.96402,0.68586,1.01648,0.57155,0.79747,0.72963,0.39366,1.46373,2.23706,1.49817,0.00122516,0.00122516,0.00122516
36,176.716,0.9719,0.78696,1.05634,0.72929,0.57976,0.68943,0.39091,1.46371,2.18047,1.48585,0.00125599,0.00125599,0.00125599
37,181.127,0.98261,0.68671,1.04881,0.72929,0.57976,0.68943,0.39091,1.46371,2.18047,1.48585,0.00128655,0.00128655,0.00128655
38,186.397,1.00516,0.77887,1.05653,0.64499,0.55696,0.63029,0.36008,1.43295,1.95031,1.43563,0.00131685,0.00131685,0.00131685
39,192.139,0.98276,0.80089,1.03188,0.78342,0.4557,0.62131,0.35832,1.48128,2.34104,1.50424,0.00134688,0.00134688,0.00134688
40,196.615,0.95151,0.69264,1.03827,0.78342,0.4557,0.62131,0.35832,1.48128,2.34104,1.50424,0.00137665,0.00137665,0.00137665
41,202.394,1.01333,0.72423,1.01632,0.79771,0.65823,0.69946,0.41247,1.51258,2.52922,1.63079,0.00140616,0.00140616,0.00140616
42,208.277,1.02028,0.76657,1.04897,0.73803,0.63291,0.66622,0.39564,1.50031,2.84808,1.62293,0.0014354,0.0014354,0.0014354
43,213.373,0.93269,0.72742,1.01623,0.73803,0.63291,0.66622,0.39564,1.50031,2.84808,1.62293,0.00146438,0.00146438,0.00146438
44,218.953,0.90432,0.73943,1.01559,0.78945,0.58228,0.67806,0.38825,1.52462,1.85676,1.59491,0.00149309,0.00149309,0.00149309
45,224.427,0.94346,0.78466,1.00802,0.78945,0.58228,0.67806,0.38825,1.52462,1.85676,1.59491,0.00152154,0.00152154,0.00152154
46,230.274,0.9602,0.79891,1.0336,0.8115,0.70886,0.78959,0.43438,1.52343,1.30696,1.56243,0.00154973,0.00154973,0.00154973
47,236.151,0.91358,0.71561,1.02371,0.8115,0.70886,0.78959,0.43438,1.52343,1.30696,1.56243,0.00157765,0.00157765,0.00157765
48,240.839,0.90254,0.68657,1.01844,0.81989,0.75949,0.78957,0.43855,1.52531,1.42227,1.52225,0.00160531,0.00160531,0.00160531
49,245.901,1.1054,0.72622,1.08431,0.81989,0.75949,0.78957,0.43855,1.52531,1.42227,1.52225,0.0016327,0.0016327,0.0016327
50,251.834,1.06981,0.66629,1.03426,0.77564,0.83147,0.84983,0.44627,1.51777,2.13243,1.52612,0.00165983,0.00165983,0.00165983
51,257.326,0.95415,0.66712,0.98686,0.77564,0.83147,0.84983,0.44627,1.51777,2.13243,1.52612,0.00167,0.00167,0.00167
52,262.682,0.97901,0.67978,1.04246,0.83253,0.81807,0.83857,0.42691,1.5112,1.89838,1.49961,0.0016634,0.0016634,0.0016634
53,268.719,0.92665,0.6338,0.99743,0.83253,0.81807,0.83857,0.42691,1.5112,1.89838,1.49961,0.0016568,0.0016568,0.0016568
54,273.543,0.90741,0.65601,1.03424,0.88128,0.75172,0.83072,0.42648,1.59424,1.13663,1.46386,0.0016502,0.0016502,0.0016502
55,278.946,1.12158,0.70875,1.05315,0.88128,0.75172,0.83072,0.42648,1.59424,1.13663,1.46386,0.0016436,0.0016436,0.0016436
56,284.701,1.17225,0.76836,1.0622,0.77249,0.77367,0.84747,0.42402,1.56551,1.04022,1.41751,0.001637,0.001637,0.001637
57,289.848,0.90372,0.7233,1.00832,0.77249,0.77367,0.84747,0.42402,1.56551,1.04022,1.41751,0.0016304,0.0016304,0.0016304
58,296.133,0.97438,0.74985,1.00472,0.72256,0.83544,0.78256,0.37188,1.52678,1.14604,1.45726,0.0016238,0.0016238,0.0016238
59,300.757,1.0145,0.6691,1.04743,0.72256,0.83544,0.78256,0.37188,1.52678,1.14604,1.45726,0.0016172,0.0016172,0.0016172
60,306.124,1.03193,0.65627,1.0473,0.75158,0.78481,0.78207,0.43675,1.43139,1.03558,1.39724,0.0016106,0.0016106,0.0016106
61,311.126,0.9169,0.61484,0.99777,0.75158,0.78481,0.78207,0.43675,1.43139,1.03558,1.39724,0.001604,0.001604,0.001604
62,317.295,0.91956,0.61581,1.01816,0.83053,0.70886,0.77619,0.4744,1.43205,1.03919,1.43014,0.0015974,0.0015974,0.0015974
63,322.838,0.92285,0.5792,0.9811,0.83053,0.70886,0.77619,0.4744,1.43205,1.03919,1.43014,0.0015908,0.0015908,0.0015908
64,328.454,0.98037,0.61466,0.98339,0.78158,0.72474,0.7755,0.45126,1.45121,1.18503,1.45644,0.0015842,0.0015842,0.0015842
65,333.214,0.91316,0.61562,1.00856,0.78158,0.72474,0.7755,0.45126,1.45121,1.18503,1.45644,0.0015776,0.0015776,0.0015776
66,339.195,0.88856,0.59433,0.98155,0.72199,0.72152,0.79009,0.47152,1.37614,1.00423,1.44763,0.001571,0.001571,0.001571
67,343.865,0.87488,0.571,0.97342,0.72199,0.72152,0.79009,0.47152,1.37614,1.00423,1.44763,0.0015644,0.0015644,0.0015644
68,349.217,0.83353,0.57782,0.95946,0.73105,0.79747,0.80124,0.46893,1.38491,0.99543,1.45596,0.0015578,0.0015578,0.0015578
69,353.907,0.82995,0.56292,0.96803,0.73105,0.79747,0.80124,0.46893,1.38491,0.99543,1.45596,0.0015512,0.0015512,0.0015512
70,359.153,0.83853,0.597,0.95882,0.81352,0.77312,0.81804,0.44793,1.44193,0.97537,1.55013,0.0015446,0.0015446,0.0015446
71,363.385,0.80362,0.54132,0.95105,0.81352,0.77312,0.81804,0.44793,1.44193,0.97537,1.55013,0.001538,0.001538,0.001538
72,368.827,0.87683,0.60096,0.97814,0.8221,0.73418,0.79296,0.45532,1.45485,0.90566,1.59392,0.0015314,0.0015314,0.0015314
73,373.049,0.76922,0.54566,0.97018,0.8221,0.73418,0.79296,0.45532,1.45485,0.90566,1.59392,0.0015248,0.0015248,0.0015248
74,377.222,0.8062,0.5646,0.93916,0.86059,0.73418,0.83597,0.48456,1.36529,0.96169,1.53736,0.0015182,0.0015182,0.0015182
75,381.737,0.81431,0.51537,0.94416,0.86059,0.73418,0.83597,0.48456,1.36529,0.96169,1.53736,0.0015116,0.0015116,0.0015116
76,387.812,0.81542,0.51231,0.95869,0.86072,0.73418,0.84311,0.49941,1.33699,1.06563,1.50971,0.001505,0.001505,0.001505
